sentence	label
Don't waste your time.  We had two different people come to our house to give us estimates for a deck (one of them the OWNER).  Both times, we never heard from them.  Not a call, not the estimate, nothing.	0
Hoofah.	0
Average run of the mill store.  Associates are young teens and they really don't know where anything is.  Luckily I am able to get around to find everything.  Found my puppy treats and moved on.	0
If you are searching for a go to fish place for Lent....look no further.  This place will give you the best fish sandwich in Pittsburgh.  The sandwich has enough fish to make four sandwiches.  You will not be able to finish this sandwich in one seating.\nEnjoy....	1
Italian dinners, American, endless soup and salad bar is great. Most food for your dollar. I highly recommend. Great bar. Good place to watch a game. The bar can get quite noisy in the evenings, but it adds to the great atmosphere at Rocky's	1
Good Luck getting a seat, that's all I have to say. The Gab and Eat is famous and infamous. Diner food is what's up and I like it. When I was a roofing mechanic, we'd meet there before work. Although I'm not sure I would recommend it if you're working were there's no bathrooms. hehe	1
The biggest breakfast in Pittsburgh, as far as I can tell - and delicious and cheap too. I ordered some mix of eggs, bacon and pancakes - and got 2 dinner-sized plates, one loaded with pancakes and the other stuffed with eggs, bacon, and home fries. Oh, and a side of toast. For under $5, if I recall.\n\nHUGE portions, all well-executed; as good as DeLuca's.\n\nI've not had anything besides breakfast, so can't comment on the burger or anything else.\n\nCramped quarters, and you'll have to wait, but when nothing but monster morning food will do, this is the destination.	1
Cheap, unpretentious, and, for this, one of my favorite breakfast joints in the country.  Simply put I LOVE it here.  The mixed grill, the sausage and egg on a biscuit, the home fries.  This it the very definition of diner.  Thank you Gab 'n' Eat!	1
I've lived in Pittsburgh for 6 years, and in Carnegie for over 2 years, and by far, this is the best greasy spoon joint I've found. If you can stomach the wait (no reservations, naturally), you'll enjoy overflowing plates of goodness, thanks to the well-seasoned griddle where all of the food is made. \n\nHere are the highlights:\n\n-Cheap: Breakfast for two can be well under $10, with lunch around the same.\n-Crowded: Get there early and expect to wait. They close pretty early on the weekends too (oddly, at 12:45pm)\n-Cash only\n-Huge portions: When ordering fries or homefries, always get the half order, unless you're a lumberjack\n-About those homefries: They're often undercooked. I've had better, believe me. My favorite things to eat in life are potato products.\n-My favorite item: hot sausage sandwich on thick Italian toast, with cheese, lettuce, tomato and mayo	1
Definitely a greasy spoon! Always packed here and always a wait but worth it. The omelets are really tastey especially with their homemade sausage. I also like the mixed grill.  My parents love their burgers. Took off a star for lumpy booths and really tight tables (your arm gets hit when someone walks past) oh and waitresses aren't very attentive.	1
Best breakfast spot in the area, If you like diner food it is the place to go. Small, so you will want to avoid the church crowd on Sundays, but the wait is never too long.  Everyone is friendly and has obviously been working there for a while.  If you are feeling like lunch food go a little later, their burgers are made on the breakfast griddle and are delicious.	1
"I always love a good diner.  Gab and Eat was just what we were looking for on a Saturday morning.  Good food.  Great people. Pittsburgh ambiance. \n\nThis place is obviously a beloved neighborhood gem.  I had french toast and bacon.  The french toast was made with the best Italian bread.  My fiance had what they called a 'mixed grill.\""  It consisted of eggs, peppers, onions and home made sausage.  Not something you would eat everyday, but he loved it!   They also had great coffee.  They actually ground up the beans in front of us.  Now that's fresh.\n\nWe want to return sometime for \""turkey day.\""  Apparently they made fresh turkey every Tuesday.  Now that sounds good!\n\nCan't wait to return."	1
Barb's Country Junction gets a 5 star rating for me because it is truly everything that a Pittsburgh restaurant should be.  In addition to being the apple of my nostalgia's eye, it is also the constant thought of my tummy when I'm hungry on the weekends.  \n\nBarb's breakfasts cannot be beat, but truly any meal you get there you won't regret.  Everything is made to order, with fair portions, and great prices. My recommendation is a breakfast sandwich on a bagel and a coffee.  There's nothing better than drinking from a cup that could have come from your grandma's kitchen.\n\nI know that Gab N Eat is nearby, and Barb's can be a little weird get to with the strange traffic pattern but this really is a gem of Carnegie that you've gotta try!	1
Great little place. Treats you like a local.Eaten here 3 times a week for a month.  Same overtime. Barb is always here.	1
"I've stayed at a couple of Extended Stay sites that I found quite satisfactory and this location proved to be just as good. Excellent place to stay while visiting Pittsburgh. It is just a five minute drive to downtown. Location is in a business park area so it is quiet. \n\nThe rooms contain a nice kitchenette area with a full sized refrigerator, sink, cabinets and two burners. There is no oven which I expected as the descriptions all state \""full kitchen\"" so be aware of that. Also they do not keep the dishes, pots and pans, coffee makers, toasters or utensils in the rooms. If you want them you have to request them at the desk during check in. \n\nThe room was clean and well maintained. Cable tv quality is spotty sometimes but not intolerable. The free wifi is usually fast. \n\nThe best part about this location was the staff. The people at the desk were all very pleasant and welcoming and quite willing to assist with any questions or issues with a smile.  I would definitely stay at this location again and highly recommend it."	1
Okay, so hopefully you haven't been enjoying happy hour @ Riley's Pour House before you read this or you might not be able to follow the lilting Irish owners. \n\nTo recap: Murphy's Pour House from 1979-1985. Sullivan's Pour House from 1995-2002. Paddy's Pour House from 2002-2012. And, bagpipe please, Riley's Pour House opens March 1 of 2012. Still with me?\n\nIt's a tiny long bar just like the old Irish pubs. No more smoking allowed. Hurrah!!!  Same lousy service. \n\nMy guess is that the entire place needs (no, strike that .... demands) an automated food/beverage ticketing system. None of the cooks, bartenders, or waitresses know who ordered what nor what ticket belongs to which table. It's actually pretty funny if you're not a) hungry or b) thirsty. \n\nI really really want this place to do better. We need more Irish pubs and local old time watering holes. \n\nGet it together, Murphy's ... er, I mean Sullivan's....er, I mean Paddy's or is it Riley's? ;  ).  Whatever the case, they have cold Guinness. And Irish music.  And fun patrons.	0
The delivery driver mistakenly rang my doorbell, having confused 133 and 113.\n\nRather than taking a step back and analyzing the situation, he begins to accuse my wife and I of ordering and refusing to pay for this pizza.\n\nThe driver then gets on his cell phone and rather than calling the number than was given when the order was placed, begins to call his bosses and starts threatening me with felony charges. \n\nSo I take the initiative and ask the fine upstanding gentleman what the phone number of the order-er was, phone my neighbor and discover the mistake. Rather than a thank you or a sorry, he just speeds off (breaking the speed limit on our block) to reach his destination 50 feet away.\n\nI would call to complain, but based on the other reviews, its clear the owners do not care about Carnegie or it's residents, and its pretty well known around town just how awful their food is, so it would be pointless to boycott a place I'd never order from again anyway.\n\nDo yourself a favor and order from ANY other establishment in town.	0
This is by far the best dentist I have ever been to.  She is honest and never trys to sell you a bunch a stuff that you dont need. We are very great full that we discovered her. We adjust our vacations to make sure that we stop in to her office in Pennsylvania at least once a year for cleaning and check ups, worth the drive from Florida.	1
I've been to this office a good amount of times.  Each time the receptionists give of a vibe of entitlement and it is very uncomfortable.  Dr. Weinberg herself is very nice, but I doubt her ability. Every procedure she has done to my teeth has backfired. The third and last issue I have is that i always paid cash at the end of my visits and somehow I have received an invoice for $55. I called and of course the receptionist was sassy and rude so I gave up. Will never go back or refer anyone else	0
Far away from real Chinese food. Doesn't even taste good as American style Chinese food.	0
I used to order takeout here once every month or so. The food tastes average and the price is good. It's your typical low-end Chinese place. \n\nThe last (and final) time I ordered here I just so happened to be picking up my order while a health inspector from allegheny county health department was making his rounds. While I was waiting on my food (which took much longer than usual) the inspector was pointing out violations. He also requested a copy of a certificate that the man behind the register was unable to produce. The inspector looked at me like I was crazy for waiting on my food despite the obvious poor conditions.  \n\nAs for the rest of the place - it's always been kind of dirty inside. The carpets are just FILTHY and the walls match. There are always children's toys scattered about the floor because the owners children are always there, so be careful not to trip. \n\nThe workers do seem like nice people just trying to make a living but when it comes to cleanliness Don Don is lacking.	0
All I can say is the worst! We were the only 2 people in the place for lunch, the place was freezing and loaded with kids toys! 2 bicycles, a scooter, and an electronic keyboard graced the dining room. A fish tank with filthy, slimy fingerprints smeared all over it is there for your enjoyment.\n\nOur food came... no water to drink, no tea, medium temperature food. Of course its cold, just like the room, I never took my jacket off! The plates are too small, you food spills over onto some semi-clean tables as you sit in your completely worn out booth seat. The fried noodles were out of a box and nasty, the shrimp was mushy, the fried rice was bright yellow.\n\nWe asked for water, they brought us 1 in a SOLO cup for 2 people. I asked for hot tea, they said 10 minutes. What Chinese restaurant does not have hot tea available upon request?\n\nOver all.... my first and last visit to this place. The only good point was that it was cheap, and deservingly so.	0
We went on a weeknight.  Place was not busy waited over 20 minutes for drinks and to have our order taken.  We ordered an app and it came out with the meals and that was another 20 minutes or so.  Food was luke warm at best.  I would not go back.	0
Went for breakfast on 6/16/14. We received very good service and meal came within a few minutes.Waitress could have smiled more but was friendly. \nI had a Grand Slam... it was more than enough food. \nMeal was very tasty... We will definitely go back. \nIt is a popular Denny's.	1
Perfect time with hubby, after work which is 4 am and you can still have a hot nice meal, waitress was such an adorable girl. Her arm was broken or smth but she still dis a great job!\nStrawberry lemonade was just smth i have been craving for for so long but did not know what it was :) \nStrawberry milkshake, nachos and t bone steak is smth we never stop ordering!\nIts always nice when u go late at night like us, it is not crowded, not noisy, nice music playing and always nice people around. \nIf you want smth quick and it is late at night then i would say Denny's!	1
I belong to this gym...  I live in the South section of Pittsburgh, and I find that this gym is not too far from me.  The staff is friendly, the equipment is quite good.  You get two free personal training sessions when you join.  They have lots of weights (which my boyfriend uses) and a decent cardio room.  The only thing I would say is to increase some of the cardio equipment.  Water is only $1 a bottle!	1
I bought a three month membership last year, mainly to attend the Silver Sneakers classes. I was in my early sixties and hadn't exercised in a while. I tried the evening classes but they were very crowded and difficult, so I tried a morning class for seniors. I like to stretch out before my class actually starts, so I went to the tail end of a yoga class. The women in this class were very nasty to me and told me that I wasn't welcome to stretch out in their class. I never went back thanks to the attitude of the other members. I didn't feel welcome here. I complained to the manager, who said that I was welcome to stretch out in whatever class I wanted to, but the hostility of these yoga students was very evident. Do they think that this is their private gym?	0
If you like being greeted in the morning by a gym worker slopping down eggs from a frying pany instead of working....this is your gym....complain to the manager and she gets nasty....try getting in touch with the owner....impossible!  Most unprofessional gym ever!!!!	0
Papa J's is by far my favorite restaurant in Pittsburgh, my hometown.  I eat there almost every time I visit, and everything I've ever ordered has been fantastic.  Fresh ingredients, simple preparation, reasonable prices.  Also, they make the best pizza in town HANDS DOWN.	1
Yay, I'm a fan but sometimes service is a little slow, it was very good for us this visit.  Go to Papa j's every once in a while but mostly for the White Pizza.  It is the best white pizza I have ever had.  Order the white pizza on our visit this  weekend... it has garlic, spinach, feta cheese and we usually add some veggie on top.  It was delicious!  Order fried calamari and it was OK...note to self next time try the calamari roman style.\n\nLike the dinning room with the hardwood floors and bright lighting.  \n\nThe bar was jumping thou never go to the bar.	1
Terrible service.  Food unremarkable.  Waiter disappeared for 45 minutes to serve larger group due to staffing mismanagement.  Saved his tip by discounting meal after I complained.  All and all, a very crude and unpleasant dining experience for me and my guests.  Not to be repeated, never again!	0
Yay, I'm a fan of the white pizza.  Had take out.  \n\nThe bar was jumping when I picked up our order.\n\nThe white pizza is so delicious...with garlic, spinach, feta, and added some veggies.  Tried the Roman Style calamari, very good better than the fried calamari we had last time.	1
OK, its Friday night and have about 70 minutes to eat. Driving by Papa J's and W says, lets stop in and get a quick dinner. \n\nAdvice host that we are in a hurry.  The host advised us it is a 90 minute service. The place was crowded, we were seated at the last open table. However our waiter, Jason, said he will do his best to get as out on time. We ordered our dinner immediately, with a salad and a glass of wine. In a few minutes we had our wine, then in a few more seconds we had our salads and some great homemade Italian bread with some olive oil and balsamic ving. for dipping.  Yum!\n\nJust as we were finishing our salads our dinners were delivered. Great job Jason! The Fettuccine Carbanara was very good; a thick cream sauce with bacon and ricotta.  In and out in 60 minutes.  Now that is some good service.	1
Great little gem! The food was fantastic was very food and just the right price. The Italian food was amazing, but you can not leave without a dessert and be prepared for giant serving. I had the carrot cake yummy!! Def a place everyone should try.	1
This is a regular go-to for me. I love the food and the service. They always have the wine that I like and the food is always delicious. I suggest trying the flourless chocolate cake in the front of the store (in the section where you can buy stuff to take home). It is sublime and makes you want to go to a special cozy corner just to eat it and revel in its velvety loveliness.	1
"Coming here you get the feeling they haven't changed much.  The tables, the decorations, the menu.  All the same.  Does that make you a little worried?  Yes.\n\nI ordered the mushroom ravioli and it was... oily.  Very very oily.  The actual ravioli was okay, enough mushrooms.  but it was oily.  Did I mention that?  \n\nAmbiance, like I said, left much to be desired.  I don't think I'd have this place on my list of \""musts\"" for downtown.  Much better restaurants to visit!"	0
"Service in this place is poor because of lack of acknowledgment since people working there are \""just\"" working . They have nice decor,nice bar and good bread. Consider where this place is ,the prices are really really high . Nothing is served on the side with main dishes ...."	0
Terrible service...terrible food...this place smells like rotten wet wood	0
Papa J's is expensive and inconsistent.  The ambiance is nice but it doesn't justify the prices.  There are better restaurants in Carnegie.	0
I was pleasantly surprised by this restaurant.  Came here with no expectations.  \n\nI was greeted by a large open (garage style) window, that opened the whole lounge bar area to the street.  It had modern furnishings and the staff were quite friendly.\n\nOrdered the quattro formaggi pizza.  Quite good!!!  Great balance of cheeses.  Not too rich at all.  Crust was excellent too.  Can't wait to come back.	1
"Absolutely Awful Service.  Went to Papa J's awhile ago and the service was bad - the waiter was surly, rude and unhelpful..  Decided to try it again since it is close to Stage 62.  Big mistake.  Greeted by a dour manager that seemed mad that we had a reservation. 30 minutes to get a glass of wine.  At one hour and 45 minutes complained to the manager that we still had not received out entrees.  He said 'What do you want me to do about it?\"" and said they had a busy night.  This is when tables around us sat empty. I then had to go back to the manager to give us our bill so we could get away from this ruined evening.  The bill was prepared incorrectly. If you want average food and terrible service, this is your place.  We will never go back."	0
Man has this place gone down hill.  My husband and I went a couple of weeks ago.  We had salads and pasta.  Both were on the verge of inedible.  With a single glass of wine, I felt downright robbed at the $50 price tag.  Seriously, I could have easily made what we had with jarred sauce and boxed pasta at home. Classico is better.  And the service was pretty absent to make it even worse... seemed she knew it was terrible and didn't want to deal with it.  Seriously, I'd rather eat at the OG.	0
Food was NOT GOOD at all! My husband & I ate here a couple weeks ago for the first time. I ordered a salad & basil pesto cream pasta & my husband ordered the spinach & feta pasta. The salad was just a huge plate of spring mix (nothing else in it) with WAY to much vinegar dressing. My lettuce was drowning in the vinegar. My pesto pasta had no flavor (did not taste like a cream sauce to me) & the pesto was so runny/watery & way too much sauce not enough noodles. My husband's pasta had even less flavor than mine. We ate about a quarter of the food & couldn't even finish it. We took it home & it was so bad I didn't even eat my leftovers. And I hate wasting food!! Plus the prices are expensive for the amount of food you get & of course the poor quality. Don't waste your time eating here. There are much better Italian restaurants in Pittsburgh.	0
I've decided where I stand with Emmert Dental. They are unprofessional, rude and have no clue what they're doing (behind the desk). I will not be going back nor will I have nice things to say about them.	0
The worst dental office I ever been. No one can beat it!!! You should avoid it at any time.	0
Eat at your own risk. The service is terrible, the staff seem to be generally clueless, the management is inclined to blame the staff for their own mistakes, and there's no sense of FAST in their fast food. When we came, half of the menu board was still on breakfast, and it was 4:30p. The only thing they have going for them is that the food is hot and tastes just like McDonald's should. \n\nThen again, the franchise is owned by Rice, and I've come to take terrible service is their MO.	0
"This McDonald's is so bad it's amazing.  \n\nOrder:  Big mac, large fries, diet coke.\n\nThe soda machine was broken.   No sodas.\n\nThen I got to the window.  \""We rang you up for medium fries.\""   (Not what I asked for)  \""Well, if you want a large, you're gonna have to wait 4 minutes.  We just started a new batch.\""\n\nLeft with:  Big mac, medium fries, no coke.\n\nActually, now that I think about it, this was one of my better experiences there..."	0
Some how even though the food at this Eat'n Park is down right abominable, the smiles and laughter is always there.  How can I stay mad when the prices or so cheep? Myself my boyfriend and his nephew had lunch with milkshakes and me having a coffee it was $31.00\n\nOn this particular occasion the fire alarm went off and rang and rang and rang loud and long for over 15 minutes before the fire department got there realized they didn't have key to turn it off and than another 10 minutes later finally shut it off...only at Eatn' Park.\n\nMy baked potato was hard as a rock, I had ordered two pieces of baked cod and only received one. \n\nThe waitress was very sweet and attentive and really attempted to build a rapport with our lil nephew which I thought was sweet.	0
Typical Starbucks coffee chain. 2 things I dont like about this Starbucks: \n\n1. Ive been there twice and both times the place has been dirty, compared to the other Starbucks I have been in.\n\n2. If you have to use the bathroom, they give you a key thats attached to this nasty bottle. Im pretty sure they dont clean that bottle after every use or even nightly.\n\nAside from that, good coffee and fast/friendly service.	0
"If there was ever a \""get your coffee and go\"" Starbucks, this is it. Right in the center of the Waterfront, this Starbucks has no sofa, comfy chairs, only table seating. I love the baristas here, But I don't like the location of the building."	0
Great location!  Close to shops and theatre.  Nice staff.	1
Regarding quality of beverage, this is just your average Starbucks. I can't complain but am not blown away either. However, I really like the location of this shop, which is located in the center of The Waterfront's specialty retail shops. Though in the midst of a lot of retail, the surrounding area is very picturesque with pretty green grass, flowers, and a fountain. Hanging out here is very relaxing.	1
This Starbucks is teeny-tiny!\n\nSeating inside is VERY limited.  This is a Starbucks to grab and go and continue your shopping at the Waterfront.\n\nBaristas are friendly and fast.	0
I'm not a huge fan of this location. I think that it was oddly built- the small, alley-like front makes it difficult to get past people on your way to/from the bathroom or tables when it's busy. And there's hardly any tables to sit at. Furthermore, people tend to clog the front on their way in, which makes things particularly difficult (especially in the winter weather). The staff were pretty impersonal to be, but maybe that was due to the high traffic of the place and the time I was there. And the coffee that I had was cold- I'm sure it was probably the bottom of the batch. I'd probably only walk in here again if someone else suggested it before or after a movie or while we were shopping in the area.	0
It's yet another Michael's, and it's a very good one. Recommended always. For those who love crafting, Michael's is a godsend.	1
The food is good and its CHEAP.\n\nI mean REALLY INEXPENSIVE.\n\n$4.00 for a burger and fries. Add a coke and its like $10.00-$13.00 for two people.  Seldom if ever crowded. \n\nService can be a tad slow but hit or miss.\n\nThey also do breakfast and its a great alternative to waiting at eat and park.\n\nTry the shakes, they're great.	1
This is the absolute WORST Steak N Shake I've ever been to. \n\nThe bf and I got lost around Pittsburgh for 40 min. trying to find this location and on top of the unnecessary 1 hour wait for our food, the food itself was just so crappily made. It was so bad and we had waited a ridiculous amount of time (c'mon, Steak N Shake is basically a glorified McD's), our waiter comped our WHOLE MEAL.\n\nIf not for the compensation, I would have been pissed that we had to pay for such a crappy meal. The bf, on the other hand, was more upset about the principle of the matter... we had trekked all that way just to get our Steak N Shake fix (since both of us haven't had it since our undergraduate days) and it was a major fail.\n\nI think I'm good with my Steak N Shake craving for a long time now...\n\n\n\nPS. The whole joint smells like major B.O.	0
I went here at 3 PM between the lunch rush and the dinner rush, and the restaurant was maybe 20% full. I ordered the Chili Mac Supreme to go. I thought I would be in and out within 5-10 minutes. Keep in mind that this restaurant even has a drive-thru; the expectation is quick service.\n\nLong story short, my food never came... the waitress told me (after I had been sitting there waiting for thirty minutes) that the kitchen hadn't even started on my order yet, so I told her to cancel it and walked out. Now I see that others on Yelp have warned about the slow service at this location. Wish I had looked it up earlier.	0
Well... as Steak 'n Shake locations go, this isn't the best one around--but it is burgers and fries that are open 24-7.\n\nThe milkshakes are good!\n\nPROS: \nAlways made fresh, when you order;\n\nCONS:\nGreasy (but its burgers);\nTakes longer than typical in drive thru (but that's bc they're made fresh!);\nService (on a scale of 1-10, 10 being awesome) is a 4.	0
In general I do like Shake N' Steak, but this location is a hit or miss location!  You never know what kind of quality or service you're going to find here.  A friend and myself went a few weeks back after a movie and it had to be one of the worst trips there EVER!  You can't entirely blame the waitress since she was the only one there for the entire place...poor scheduling on the manager's part. However, while she can't be accountable for the slooooow service, she was accountable for both orders being incorrect.  The burgers were over cooked and the fries were soggie and the milkshake was runny at best...\n\nBy far my worst visit to Steak n' Shake!	0
Rather typical SnS.  Had a good lunch crowd.  Milkshake was good but not as good as EnP down the street.  It took to long to get the burger for some reason, 25 minutes, I realized cooked to order but this is a little long for SnS.  Ordered the Guacamole Steakburger and it only had a small portion of Gauc...not your usual amount..kitchen was not up to speed on portion sizing for some reason.  Definitely did not look like the picture on the website.  Oh well!	0
The only thing worse than the food is the service.	0
Terrible wait staff  couldn't even seat us. Before we, and another party walked out without even being greeted properly, I observed several employees traipse out the front door, several tables who were waiting for their food for a long time,  several employees just standing around out of direct view of the tables, a morbidly obese hostess that could barely physically walk from one end of the store to the other. I think one server was high. \n  \n  Going there was a  special request by a 7 year old getting over a long-ish illness, so that makes the shabby treatment more enraging.	0
This place is s l o w....like so slow I have got up and left after waiting 30 minutes and not even being acknowledged by a server. The food is okay. Def not worth the wait. Milkshakes are just okay as well. Booooooo.	0
I really like the chili. Burgers are fair and salads are pretty bad. Pretty hard to mess up a side salad. As others have said you never know what kind of service you will get. Store is usually understaffed and cleanliness is fair. The staff is usually disinterested with customers and sometimes outright rude. All in all what you pay is what you get. Cheap and crap service.	0
Food is good, what you'd expect from Steak n Shake. THE SERVICE IS AWFUL. so incredibly awful. expect to take at least an hour for your meal, even when it's slow. I've been going here for years when I want a cheap meal, but the service is so so so awful. Go to McDonalds.	0
The service was fast but the food was terrible and so was the service. I had a bus to catch so I couldn't wait around waiting for the check so I went to the counter to pay. She never brought my check, never checked to see if my drink needed refilled, she just mopped the floors. \n\nThe burger was really greasy, the fries were Luke warm and the cheese on them wasn't as flavorful as it should be. As a new Pittsburgher I'm not impressed.	0
I love Steak N Shake. This one, however, leaves a lot to be desired. The food often comes out cold and the servers are apathetic at best. Most of the time, they're downright rude. I highly recommend avoiding this location if possible. There's one on Route 51 that's worth the 15 minutes it'll take you to get there.	0
I like the occasional steak and shake stop.....    but this one has to be the slowest one ever.    The cashier was rude and I could hear her yelling are you fucking kidding me because the register was not working the way she wanted....     wow.... just wow...	0
Every time we come here the service is laughably bad. On this visit a tabe which was sat after us had their food before our server graced us with her surly presence. Good restaurant elsewhere, just avoid this location if you want to get your food inside an hour.	0
Wow. Dirty and slow.  The floors felt like they had the days burger grease spilled all over, and it took 30 m8n to get our take out order.	0
This place teeters between a 2 and a 3 star review.  I've had pretty good experiences inside, it's usually the drive-thru where things fall a part.  \n\nIt's the rare place I can get a Frisco Melt well, the ONLY place I can get a Frisco Melt!  and that steak burger alone is worth the risk, Walk In OR Drive Thru.\n\nJust take a gun on Weekends, you'll be fine.	0
"This location is terrible. The drive-thru workers are rude and they give you crap food. I waited 5 minutes before being able to order, even when there was only 1 car ahead of me. Then the lady proceeded to ask me if I would like anything on my burger, and (thinking the pictures on the menu are what they're supposed to look like and they would never false advertise) I asked \""doesn't it come with the fixings like in the picture?\"" she then told me it only comes with cheese. So I then went on to tell her what I wanted on my burger. Pulled around and got my order pretty quick, but later when I open my burger its just meat and cheese. The meat is badly burned and cold. It was clear to me this burger was not fresh. I didn't even attempt to eat it, what a waste of a place. They definitely need better workers."	0
"Nice staff but apparently there is little manager oversight around 3:28am.\n\nI do like this place.  It must be nice to work somewhere that allows you to choose your own tasks.  Like smoking, sitting and texting.  I'm fine with cooking my food being fourth on the \""to do\"" list because there is no where else togo really....\n\nWhy didn't they answer me at the drive through? I think they wanted me to come inside because my girlfriend and I are really really really good looking.\n\nThis was annoying but understandable."	0
It's okay. Food is cheap but portions are small. For example I order the chicken tenders, and I got 3 little tiny tenders, and a decent amount of fries. Also the restaurant is not really clean either.  This restaurant is not my number 1 choice.	0
Love this store!  Don't always have much luck with the sales, but I always find something I like here.  This isn't your average Marshall's or TJ Max.  I think the green dress I'm wearing is from Filene's!	1
This is probably my favorite store in Pittsburgh, for the selection and variety of discounted designer clothing. Other stores carry the same stuff but for much, much more, and it's hard to find all the stuff that the Basement carries in one spot. (Yes, I admit that the 'burgh has some cool stores.) I would do most of my clothes shopping here if I were here more often.	1
Another store which has gone the way of the Dodo bird. Actually there was nothing basement like about it. What will be done with the empty space that is the question?	0
